market_title,city,target_date,strike_type,market_low_temp,market_high_temp,market_single_strike,yes_bid,no_bid,state_collected_at,actual_high_temperature,actual_low_temperature,market_result
"Will the **high temp in Denver** be <86° on Jul 6, 2025?",Denver,2025-07-06,less,,86,,0.00,99.00,2025-07-05 21:01:15,91,59,NO
"Will the **high temp in Denver** be >93° on Jul 6, 2025?",Denver,2025-07-06,greater,,93,,13.00,83.00,2025-07-05 21:01:15,91,59,NO
"Will the **high temp in Denver** be 86-87° on Jul 6, 2025?",Denver,2025-07-06,between,86,87,,2.00,96.00,2025-07-05 21:01:15,91,59,NO
"Will the **high temp in Denver** be 88-89° on Jul 6, 2025?",Denver,2025-07-06,between,88,89,,20.00,78.00,2025-07-05 21:01:15,91,59,NO
"Will the **high temp in Denver** be 90-91° on Jul 6, 2025?",Denver,2025-07-06,between,90,91,,38.00,58.00,2025-07-05 21:01:15,91,59,YES
"Will the **high temp in Denver** be 92-93° on Jul 6, 2025?",Denver,2025-07-06,between,92,93,,25.00,73.00,2025-07-05 21:01:15,91,59,NO
"Will the **high temp in LA** be <70° on Jul 6, 2025?",Los Angeles,2025-07-06,less,,70,,1.00,95.00,2025-07-05 21:01:16,71,61,NO
"Will the **high temp in LA** be >77° on Jul 6, 2025?",Los Angeles,2025-07-06,greater,,77,,2.00,97.00,2025-07-05 21:01:16,71,61,NO
"Will the **high temp in LA** be 70-71° on Jul 6, 2025?",Los Angeles,2025-07-06,between,70,71,,11.00,86.00,2025-07-05 21:01:16,71,61,YES
"Will the **high temp in LA** be 72-73° on Jul 6, 2025?",Los Angeles,2025-07-06,between,72,73,,48.00,51.00,2025-07-05 21:01:16,71,61,NO
"Will the **high temp in LA** be 74-75° on Jul 6, 2025?",Los Angeles,2025-07-06,between,74,75,,36.00,60.00,2025-07-05 21:01:16,71,61,NO
"Will the **high temp in LA** be 76-77° on Jul 6, 2025?",Los Angeles,2025-07-06,between,76,77,,3.00,93.00,2025-07-05 21:01:16,71,61,NO
"Will the **high temp in Miami** be <86° on Jul 6, 2025?",Miami,2025-07-06,less,,86,,1.00,98.00,2025-07-05 21:01:17,88,75,NO
"Will the **high temp in Miami** be >93° on Jul 6, 2025?",Miami,2025-07-06,greater,,93,,1.00,96.00,2025-07-05 21:01:17,88,75,NO
"Will the **high temp in Miami** be 86-87° on Jul 6, 2025?",Miami,2025-07-06,between,86,87,,1.00,96.00,2025-07-05 21:01:17,88,75,NO
"Will the **high temp in Miami** be 88-89° on Jul 6, 2025?",Miami,2025-07-06,between,88,89,,22.00,77.00,2025-07-05 21:01:17,88,75,YES
"Will the **high temp in Miami** be 90-91° on Jul 6, 2025?",Miami,2025-07-06,between,90,91,,51.00,44.00,2025-07-05 21:01:17,88,75,NO
"Will the **high temp in Miami** be 92-93° on Jul 6, 2025?",Miami,2025-07-06,between,92,93,,20.00,76.00,2025-07-05 21:01:17,88,75,NO
"Will the **high temp in NYC** be <86° on Jul 6, 2025?",New York,2025-07-06,less,,86,,2.00,96.00,2025-07-05 21:01:16,87,72,NO
"Will the **high temp in NYC** be >93° on Jul 6, 2025?",New York,2025-07-06,greater,,93,,1.00,96.00,2025-07-05 21:01:16,87,72,NO
"Will the **high temp in NYC** be 86-87° on Jul 6, 2025?",New York,2025-07-06,between,86,87,,20.00,79.00,2025-07-05 21:01:16,87,72,YES
"Will the **high temp in NYC** be 88-89° on Jul 6, 2025?",New York,2025-07-06,between,88,89,,50.00,48.00,2025-07-05 21:01:16,87,72,NO
"Will the **high temp in NYC** be 90-91° on Jul 6, 2025?",New York,2025-07-06,between,90,91,,19.00,80.00,2025-07-05 21:01:16,87,72,NO
"Will the **high temp in NYC** be 92-93° on Jul 6, 2025?",New York,2025-07-06,between,92,93,,7.00,91.00,2025-07-05 21:01:16,87,72,NO
"Will the **high temp in Philadelphia** be <88° on Jul 6, 2025?",Philadelphia,2025-07-06,less,,88,,5.00,90.00,2025-07-05 21:01:18,90,71,NO
"Will the **high temp in Philadelphia** be >95° on Jul 6, 2025?",Philadelphia,2025-07-06,greater,,95,,0.00,99.00,2025-07-05 21:01:18,90,71,NO
"Will the **high temp in Philadelphia** be 88-89° on Jul 6, 2025?",Philadelphia,2025-07-06,between,88,89,,25.00,70.00,2025-07-05 21:01:18,90,71,NO
"Will the **high temp in Philadelphia** be 90-91° on Jul 6, 2025?",Philadelphia,2025-07-06,between,90,91,,37.00,57.00,2025-07-05 21:01:18,90,71,YES
"Will the **high temp in Philadelphia** be 92-93° on Jul 6, 2025?",Philadelphia,2025-07-06,between,92,93,,16.00,79.00,2025-07-05 21:01:18,90,71,NO
"Will the **high temp in Philadelphia** be 94-95° on Jul 6, 2025?",Philadelphia,2025-07-06,between,94,95,,3.00,91.00,2025-07-05 21:01:18,90,71,NO
"Will the **high temp in Austin** be <87° on Jul 5, 2025?",Austin,2025-07-05,less,,87,,94.00,5.00,2025-07-04 21:01:49,83,74,NO
"Will the **high temp in Austin** be >94° on Jul 5, 2025?",Austin,2025-07-05,greater,,94,,1.00,98.00,2025-07-04 21:01:49,83,74,NO
"Will the **high temp in Austin** be 87-88° on Jul 5, 2025?",Austin,2025-07-05,between,87,88,,4.00,95.00,2025-07-04 21:01:49,83,74,NO
"Will the **high temp in Austin** be 89-90° on Jul 5, 2025?",Austin,2025-07-05,between,89,90,,1.00,95.00,2025-07-04 21:01:49,83,74,NO
"Will the **high temp in Austin** be 91-92° on Jul 5, 2025?",Austin,2025-07-05,between,91,92,,0.00,98.00,2025-07-04 21:01:49,83,74,NO
"Will the **high temp in Austin** be 93-94° on Jul 5, 2025?",Austin,2025-07-05,between,93,94,,0.00,98.00,2025-07-04 21:01:49,83,74,NO
"Will the high temp in Chicago be <91° on Jul 5, 2025?",Chicago,2025-07-05,less,,91,,2.00,92.00,2025-07-04 21:01:51,94,76,NO
"Will the high temp in Chicago be >98° on Jul 5, 2025?",Chicago,2025-07-05,greater,,98,,2.00,95.00,2025-07-04 21:01:51,94,76,NO
"Will the high temp in Chicago be 91-92° on Jul 5, 2025?",Chicago,2025-07-05,between,91,92,,11.00,85.00,2025-07-04 21:01:51,94,76,NO
"Will the high temp in Chicago be 93-94° on Jul 5, 2025?",Chicago,2025-07-05,between,93,94,,26.00,69.00,2025-07-04 21:01:51,94,76,YES
"Will the high temp in Chicago be 95-96° on Jul 5, 2025?",Chicago,2025-07-05,between,95,96,,33.00,65.00,2025-07-04 21:01:51,94,76,NO
"Will the high temp in Chicago be 97-98° on Jul 5, 2025?",Chicago,2025-07-05,between,97,98,,16.00,82.00,2025-07-04 21:01:51,94,76,NO
"Will the **high temp in Denver** be <86° on Jul 5, 2025?",Denver,2025-07-05,less,,86,,1.00,97.00,2025-07-04 21:01:48,92,60,NO
"Will the **high temp in Denver** be >93° on Jul 5, 2025?",Denver,2025-07-05,greater,,93,,2.00,97.00,2025-07-04 21:01:48,92,60,NO
"Will the **high temp in Denver** be 86-87° on Jul 5, 2025?",Denver,2025-07-05,between,86,87,,7.00,90.00,2025-07-04 21:01:48,92,60,NO
"Will the **high temp in Denver** be 88-89° on Jul 5, 2025?",Denver,2025-07-05,between,88,89,,24.00,72.00,2025-07-04 21:01:48,92,60,NO
"Will the **high temp in Denver** be 90-91° on Jul 5, 2025?",Denver,2025-07-05,between,90,91,,35.00,59.00,2025-07-04 21:01:48,92,60,NO
"Will the **high temp in Denver** be 92-93° on Jul 5, 2025?",Denver,2025-07-05,between,92,93,,23.00,71.00,2025-07-04 21:01:48,92,60,YES
"Will the **high temp in LA** be <72° on Jul 5, 2025?",Los Angeles,2025-07-05,less,,72,,1.00,96.00,2025-07-04 21:01:48,73,63,NO
"Will the **high temp in LA** be >79° on Jul 5, 2025?",Los Angeles,2025-07-05,greater,,79,,0.00,97.00,2025-07-04 21:01:48,73,63,NO
"Will the **high temp in LA** be 72-73° on Jul 5, 2025?",Los Angeles,2025-07-05,between,72,73,,27.00,67.00,2025-07-04 21:01:48,73,63,YES
"Will the **high temp in LA** be 74-75° on Jul 5, 2025?",Los Angeles,2025-07-05,between,74,75,,43.00,51.00,2025-07-04 21:01:48,73,63,NO
"Will the **high temp in LA** be 76-77° on Jul 5, 2025?",Los Angeles,2025-07-05,between,76,77,,15.00,79.00,2025-07-04 21:01:48,73,63,NO
"Will the **high temp in LA** be 78-79° on Jul 5, 2025?",Los Angeles,2025-07-05,between,78,79,,8.00,90.00,2025-07-04 21:01:48,73,63,NO
"Will the **high temp in Miami** be <85° on Jul 5, 2025?",Miami,2025-07-05,less,,85,,1.00,96.00,2025-07-04 21:01:50,89,76,NO
"Will the **high temp in Miami** be >92° on Jul 5, 2025?",Miami,2025-07-05,greater,,92,,1.00,95.00,2025-07-04 21:01:50,89,76,NO
"Will the **high temp in Miami** be 85-86° on Jul 5, 2025?",Miami,2025-07-05,between,85,86,,10.00,86.00,2025-07-04 21:01:50,89,76,NO
"Will the **high temp in Miami** be 87-88° on Jul 5, 2025?",Miami,2025-07-05,between,87,88,,43.00,52.00,2025-07-04 21:01:50,89,76,NO
"Will the **high temp in Miami** be 89-90° on Jul 5, 2025?",Miami,2025-07-05,between,89,90,,31.00,64.00,2025-07-04 21:01:50,89,76,YES
"Will the **high temp in Miami** be 91-92° on Jul 5, 2025?",Miami,2025-07-05,between,91,92,,10.00,89.00,2025-07-04 21:01:50,89,76,NO
"Will the **high temp in NYC** be <82° on Jul 5, 2025?",New York,2025-07-05,less,,82,,1.00,97.00,2025-07-04 21:01:49,84,68,NO
"Will the **high temp in NYC** be >89° on Jul 5, 2025?",New York,2025-07-05,greater,,89,,1.00,96.00,2025-07-04 21:01:49,84,68,NO
"Will the **high temp in NYC** be 82-83° on Jul 5, 2025?",New York,2025-07-05,between,82,83,,14.00,85.00,2025-07-04 21:01:49,84,68,NO
"Will the **high temp in NYC** be 84-85° on Jul 5, 2025?",New York,2025-07-05,between,84,85,,50.00,48.00,2025-07-04 21:01:49,84,68,YES
"Will the **high temp in NYC** be 86-87° on Jul 5, 2025?",New York,2025-07-05,between,86,87,,26.00,70.00,2025-07-04 21:01:49,84,68,NO
"Will the **high temp in NYC** be 88-89° on Jul 5, 2025?",New York,2025-07-05,between,88,89,,4.00,91.00,2025-07-04 21:01:49,84,68,NO
"Will the **high temp in Philadelphia** be <85° on Jul 5, 2025?",Philadelphia,2025-07-05,less,,85,,1.00,94.00,2025-07-04 21:01:50,88,66,NO
"Will the **high temp in Philadelphia** be >92° on Jul 5, 2025?",Philadelphia,2025-07-05,greater,,92,,1.00,95.00,2025-07-04 21:01:50,88,66,NO
"Will the **high temp in Philadelphia** be 85-86° on Jul 5, 2025?",Philadelphia,2025-07-05,between,85,86,,13.00,81.00,2025-07-04 21:01:50,88,66,NO
"Will the **high temp in Philadelphia** be 87-88° on Jul 5, 2025?",Philadelphia,2025-07-05,between,87,88,,35.00,59.00,2025-07-04 21:01:50,88,66,YES
"Will the **high temp in Philadelphia** be 89-90° on Jul 5, 2025?",Philadelphia,2025-07-05,between,89,90,,28.00,66.00,2025-07-04 21:01:50,88,66,NO
"Will the **high temp in Philadelphia** be 91-92° on Jul 5, 2025?",Philadelphia,2025-07-05,between,91,92,,8.00,86.00,2025-07-04 21:01:50,88,66,NO
"Will the **high temp in Austin** be <88° on Jul 4, 2025?",Austin,2025-07-04,less,,88,,51.00,33.00,2025-07-03 21:01:18,84,77,NO
"Will the **high temp in Austin** be >95° on Jul 4, 2025?",Austin,2025-07-04,greater,,95,,0.00,99.00,2025-07-03 21:01:18,84,77,NO
"Will the **high temp in Austin** be 88-89° on Jul 4, 2025?",Austin,2025-07-04,between,88,89,,20.00,66.00,2025-07-03 21:01:18,84,77,NO
"Will the **high temp in Austin** be 90-91° on Jul 4, 2025?",Austin,2025-07-04,between,90,91,,7.00,87.00,2025-07-03 21:01:18,84,77,NO
"Will the **high temp in Austin** be 92-93° on Jul 4, 2025?",Austin,2025-07-04,between,92,93,,2.00,79.00,2025-07-03 21:01:18,84,77,NO
"Will the **high temp in Austin** be 94-95° on Jul 4, 2025?",Austin,2025-07-04,between,94,95,,0.00,88.00,2025-07-03 21:01:18,84,77,NO
"Will the high temp in Chicago be <92° on Jul 4, 2025?",Chicago,2025-07-04,less,,92,,9.00,89.00,2025-07-03 21:01:20,92,74,NO
"Will the high temp in Chicago be >99° on Jul 4, 2025?",Chicago,2025-07-04,greater,,99,,0.00,99.00,2025-07-03 21:01:20,92,74,NO
"Will the high temp in Chicago be 92-93° on Jul 4, 2025?",Chicago,2025-07-04,between,92,93,,22.00,72.00,2025-07-03 21:01:20,92,74,YES
"Will the high temp in Chicago be 94-95° on Jul 4, 2025?",Chicago,2025-07-04,between,94,95,,44.00,50.00,2025-07-03 21:01:20,92,74,NO
"Will the high temp in Chicago be 96-97° on Jul 4, 2025?",Chicago,2025-07-04,between,96,97,,13.00,80.00,2025-07-03 21:01:20,92,74,NO
"Will the high temp in Chicago be 98-99° on Jul 4, 2025?",Chicago,2025-07-04,between,98,99,,2.00,93.00,2025-07-03 21:01:20,92,74,NO
"Will the **high temp in Denver** be <84° on Jul 4, 2025?",Denver,2025-07-04,less,,84,,1.00,94.00,2025-07-03 21:01:17,87,65,NO
"Will the **high temp in Denver** be >91° on Jul 4, 2025?",Denver,2025-07-04,greater,,91,,1.00,97.00,2025-07-03 21:01:17,87,65,NO
"Will the **high temp in Denver** be 84-85° on Jul 4, 2025?",Denver,2025-07-04,between,84,85,,16.00,80.00,2025-07-03 21:01:17,87,65,NO
"Will the **high temp in Denver** be 86-87° on Jul 4, 2025?",Denver,2025-07-04,between,86,87,,33.00,63.00,2025-07-03 21:01:17,87,65,YES
"Will the **high temp in Denver** be 88-89° on Jul 4, 2025?",Denver,2025-07-04,between,88,89,,36.00,58.00,2025-07-03 21:01:17,87,65,NO
"Will the **high temp in Denver** be 90-91° on Jul 4, 2025?",Denver,2025-07-04,between,90,91,,4.00,92.00,2025-07-03 21:01:17,87,65,NO
"Will the **high temp in LA** be <69° on Jul 4, 2025?",Los Angeles,2025-07-04,less,,69,,0.00,99.00,2025-07-03 21:01:17,74,62,NO
"Will the **high temp in LA** be >76° on Jul 4, 2025?",Los Angeles,2025-07-04,greater,,76,,0.00,96.00,2025-07-03 21:01:17,74,62,NO
"Will the **high temp in LA** be 69-70° on Jul 4, 2025?",Los Angeles,2025-07-04,between,69,70,,1.00,97.00,2025-07-03 21:01:17,74,62,NO
"Will the **high temp in LA** be 71-72° on Jul 4, 2025?",Los Angeles,2025-07-04,between,71,72,,20.00,79.00,2025-07-03 21:01:17,74,62,NO
"Will the **high temp in LA** be 73-74° on Jul 4, 2025?",Los Angeles,2025-07-04,between,73,74,,48.00,46.00,2025-07-03 21:01:17,74,62,YES
"Will the **high temp in LA** be 75-76° on Jul 4, 2025?",Los Angeles,2025-07-04,between,75,76,,28.00,66.00,2025-07-03 21:01:17,74,62,NO
"Will the **high temp in Miami** be <83° on Jul 4, 2025?",Miami,2025-07-04,less,,83,,0.00,99.00,2025-07-03 21:01:19,86,74,NO
"Will the **high temp in Miami** be >90° on Jul 4, 2025?",Miami,2025-07-04,greater,,90,,2.00,95.00,2025-07-03 21:01:19,86,74,NO
"Will the **high temp in Miami** be 83-84° on Jul 4, 2025?",Miami,2025-07-04,between,83,84,,0.00,94.00,2025-07-03 21:01:19,86,74,NO
"Will the **high temp in Miami** be 85-86° on Jul 4, 2025?",Miami,2025-07-04,between,85,86,,19.00,80.00,2025-07-03 21:01:19,86,74,YES
"Will the **high temp in Miami** be 87-88° on Jul 4, 2025?",Miami,2025-07-04,between,87,88,,48.00,49.00,2025-07-03 21:01:19,86,74,NO
"Will the **high temp in Miami** be 89-90° on Jul 4, 2025?",Miami,2025-07-04,between,89,90,,22.00,72.00,2025-07-03 21:01:19,86,74,NO
"Will the **high temp in NYC** be <82° on Jul 4, 2025?",New York,2025-07-04,less,,82,,12.00,87.00,2025-07-03 21:01:18,83,67,NO
"Will the **high temp in NYC** be >89° on Jul 4, 2025?",New York,2025-07-04,greater,,89,,0.00,95.00,2025-07-03 21:01:18,83,67,NO
"Will the **high temp in NYC** be 82-83° on Jul 4, 2025?",New York,2025-07-04,between,82,83,,34.00,61.00,2025-07-03 21:01:18,83,67,YES
"Will the **high temp in NYC** be 84-85° on Jul 4, 2025?",New York,2025-07-04,between,84,85,,40.00,55.00,2025-07-03 21:01:18,83,67,NO
"Will the **high temp in NYC** be 86-87° on Jul 4, 2025?",New York,2025-07-04,between,86,87,,9.00,86.00,2025-07-03 21:01:18,83,67,NO
"Will the **high temp in NYC** be 88-89° on Jul 4, 2025?",New York,2025-07-04,between,88,89,,0.00,96.00,2025-07-03 21:01:18,83,67,NO
"Will the **high temp in Philadelphia** be <83° on Jul 4, 2025?",Philadelphia,2025-07-04,less,,83,,2.00,95.00,2025-07-03 21:01:19,89,68,NO
"Will the **high temp in Philadelphia** be >90° on Jul 4, 2025?",Philadelphia,2025-07-04,greater,,90,,0.00,99.00,2025-07-03 21:01:19,89,68,NO
"Will the **high temp in Philadelphia** be 83-84° on Jul 4, 2025?",Philadelphia,2025-07-04,between,83,84,,17.00,78.00,2025-07-03 21:01:19,89,68,NO
"Will the **high temp in Philadelphia** be 85-86° on Jul 4, 2025?",Philadelphia,2025-07-04,between,85,86,,37.00,62.00,2025-07-03 21:01:19,89,68,NO
"Will the **high temp in Philadelphia** be 87-88° on Jul 4, 2025?",Philadelphia,2025-07-04,between,87,88,,29.00,66.00,2025-07-03 21:01:19,89,68,NO
"Will the **high temp in Philadelphia** be 89-90° on Jul 4, 2025?",Philadelphia,2025-07-04,between,89,90,,5.00,91.00,2025-07-03 21:01:19,89,68,YES
"Will the **high temp in Austin** be <87° on Jul 3, 2025?",Austin,2025-07-03,less,,87,,20.00,73.00,2025-07-02 21:01:41,87,77,NO
"Will the **high temp in Austin** be >94° on Jul 3, 2025?",Austin,2025-07-03,greater,,94,,0.00,99.00,2025-07-02 21:01:41,87,77,NO
"Will the **high temp in Austin** be 87-88° on Jul 3, 2025?",Austin,2025-07-03,between,87,88,,29.00,70.00,2025-07-02 21:01:41,87,77,YES
"Will the **high temp in Austin** be 89-90° on Jul 3, 2025?",Austin,2025-07-03,between,89,90,,32.00,64.00,2025-07-02 21:01:41,87,77,NO
"Will the **high temp in Austin** be 91-92° on Jul 3, 2025?",Austin,2025-07-03,between,91,92,,14.00,85.00,2025-07-02 21:01:41,87,77,NO
"Will the **high temp in Austin** be 93-94° on Jul 3, 2025?",Austin,2025-07-03,between,93,94,,3.00,95.00,2025-07-02 21:01:41,87,77,NO
"Will the high temp in Chicago be <89° on Jul 3, 2025?",Chicago,2025-07-03,less,,89,,2.00,95.00,2025-07-02 21:01:43,95,72,NO
"Will the high temp in Chicago be >96° on Jul 3, 2025?",Chicago,2025-07-03,greater,,96,,0.00,99.00,2025-07-02 21:01:43,95,72,NO
"Will the high temp in Chicago be 89-90° on Jul 3, 2025?",Chicago,2025-07-03,between,89,90,,19.00,75.00,2025-07-02 21:01:43,95,72,NO
"Will the high temp in Chicago be 91-92° on Jul 3, 2025?",Chicago,2025-07-03,between,91,92,,44.00,52.00,2025-07-02 21:01:43,95,72,NO
"Will the high temp in Chicago be 93-94° on Jul 3, 2025?",Chicago,2025-07-03,between,93,94,,20.00,76.00,2025-07-02 21:01:43,95,72,NO
"Will the high temp in Chicago be 95-96° on Jul 3, 2025?",Chicago,2025-07-03,between,95,96,,4.00,90.00,2025-07-02 21:01:43,95,72,YES
"Will the **high temp in Denver** be <86° on Jul 3, 2025?",Denver,2025-07-03,less,,86,,0.00,99.00,2025-07-02 21:01:40,93,57,NO
"Will the **high temp in Denver** be >93° on Jul 3, 2025?",Denver,2025-07-03,greater,,93,,25.00,68.00,2025-07-02 21:01:40,93,57,NO
"Will the **high temp in Denver** be 86-87° on Jul 3, 2025?",Denver,2025-07-03,between,86,87,,0.00,99.00,2025-07-02 21:01:40,93,57,NO
"Will the **high temp in Denver** be 88-89° on Jul 3, 2025?",Denver,2025-07-03,between,88,89,,0.00,97.00,2025-07-02 21:01:40,93,57,NO
"Will the **high temp in Denver** be 90-91° on Jul 3, 2025?",Denver,2025-07-03,between,90,91,,26.00,70.00,2025-07-02 21:01:40,93,57,NO
"Will the **high temp in Denver** be 92-93° on Jul 3, 2025?",Denver,2025-07-03,between,92,93,,42.00,52.00,2025-07-02 21:01:40,93,57,YES
"Will the **high temp in LA** be <67° on Jul 3, 2025?",Los Angeles,2025-07-03,less,,67,,0.00,99.00,2025-07-02 21:01:40,73,63,NO
"Will the **high temp in LA** be >74° on Jul 3, 2025?",Los Angeles,2025-07-03,greater,,74,,1.00,96.00,2025-07-02 21:01:40,73,63,NO
"Will the **high temp in LA** be 67-68° on Jul 3, 2025?",Los Angeles,2025-07-03,between,67,68,,1.00,96.00,2025-07-02 21:01:40,73,63,NO
"Will the **high temp in LA** be 69-70° on Jul 3, 2025?",Los Angeles,2025-07-03,between,69,70,,32.00,67.00,2025-07-02 21:01:40,73,63,NO
"Will the **high temp in LA** be 71-72° on Jul 3, 2025?",Los Angeles,2025-07-03,between,71,72,,51.00,44.00,2025-07-02 21:01:40,73,63,NO
"Will the **high temp in LA** be 73-74° on Jul 3, 2025?",Los Angeles,2025-07-03,between,73,74,,13.00,82.00,2025-07-02 21:01:40,73,63,YES
"Will the **high temp in Miami** be <85° on Jul 3, 2025?",Miami,2025-07-03,less,,85,,2.00,97.00,2025-07-02 21:01:42,87,75,NO
"Will the **high temp in Miami** be >92° on Jul 3, 2025?",Miami,2025-07-03,greater,,92,,0.00,99.00,2025-07-02 21:01:42,87,75,NO
"Will the **high temp in Miami** be 85-86° on Jul 3, 2025?",Miami,2025-07-03,between,85,86,,8.00,91.00,2025-07-02 21:01:42,87,75,NO
"Will the **high temp in Miami** be 87-88° on Jul 3, 2025?",Miami,2025-07-03,between,87,88,,42.00,54.00,2025-07-02 21:01:42,87,75,YES
"Will the **high temp in Miami** be 89-90° on Jul 3, 2025?",Miami,2025-07-03,between,89,90,,36.00,60.00,2025-07-02 21:01:42,87,75,NO
"Will the **high temp in Miami** be 91-92° on Jul 3, 2025?",Miami,2025-07-03,between,91,92,,9.00,90.00,2025-07-02 21:01:42,87,75,NO
"Will the **high temp in NYC** be <85° on Jul 3, 2025?",New York,2025-07-03,less,,85,,1.00,97.00,2025-07-02 21:01:41,88,72,NO
"Will the **high temp in NYC** be >92° on Jul 3, 2025?",New York,2025-07-03,greater,,92,,1.00,97.00,2025-07-02 21:01:41,88,72,NO
"Will the **high temp in NYC** be 85-86° on Jul 3, 2025?",New York,2025-07-03,between,85,86,,12.00,87.00,2025-07-02 21:01:41,88,72,NO
"Will the **high temp in NYC** be 87-88° on Jul 3, 2025?",New York,2025-07-03,between,87,88,,35.00,60.00,2025-07-02 21:01:41,88,72,YES
"Will the **high temp in NYC** be 89-90° on Jul 3, 2025?",New York,2025-07-03,between,89,90,,36.00,61.00,2025-07-02 21:01:41,88,72,NO
"Will the **high temp in NYC** be 91-92° on Jul 3, 2025?",New York,2025-07-03,between,91,92,,14.00,84.00,2025-07-02 21:01:41,88,72,NO
"Will the **high temp in Philadelphia** be <86° on Jul 3, 2025?",Philadelphia,2025-07-03,less,,86,,0.00,96.00,2025-07-02 21:01:42,92,75,NO
"Will the **high temp in Philadelphia** be >93° on Jul 3, 2025?",Philadelphia,2025-07-03,greater,,93,,2.00,95.00,2025-07-02 21:01:42,92,75,NO
"Will the **high temp in Philadelphia** be 86-87° on Jul 3, 2025?",Philadelphia,2025-07-03,between,86,87,,1.00,92.00,2025-07-02 21:01:42,92,75,NO
"Will the **high temp in Philadelphia** be 88-89° on Jul 3, 2025?",Philadelphia,2025-07-03,between,88,89,,27.00,68.00,2025-07-02 21:01:42,92,75,NO
"Will the **high temp in Philadelphia** be 90-91° on Jul 3, 2025?",Philadelphia,2025-07-03,between,90,91,,37.00,57.00,2025-07-02 21:01:42,92,75,NO
"Will the **high temp in Philadelphia** be 92-93° on Jul 3, 2025?",Philadelphia,2025-07-03,between,92,93,,20.00,74.00,2025-07-02 21:01:42,92,75,YES
"Will the **high temp in Austin** be <91° on Jul 2, 2025?",Austin,2025-07-02,less,,91,,3.00,86.00,2025-07-01 21:01:28,94,73,NO
"Will the **high temp in Austin** be >98° on Jul 2, 2025?",Austin,2025-07-02,greater,,98,,2.00,97.00,2025-07-01 21:01:28,94,73,NO
"Will the **high temp in Austin** be 91-92° on Jul 2, 2025?",Austin,2025-07-02,between,91,92,,12.00,83.00,2025-07-01 21:01:28,94,73,NO
"Will the **high temp in Austin** be 93-94° on Jul 2, 2025?",Austin,2025-07-02,between,93,94,,40.00,52.00,2025-07-01 21:01:28,94,73,YES
"Will the **high temp in Austin** be 95-96° on Jul 2, 2025?",Austin,2025-07-02,between,95,96,,27.00,65.00,2025-07-01 21:01:28,94,73,NO
"Will the **high temp in Austin** be 97-98° on Jul 2, 2025?",Austin,2025-07-02,between,97,98,,10.00,89.00,2025-07-01 21:01:28,94,73,NO
"Will the high temp in Chicago be <88° on Jul 2, 2025?",Chicago,2025-07-02,less,,88,,3.00,96.00,2025-07-01 21:01:30,91,71,NO
"Will the high temp in Chicago be >95° on Jul 2, 2025?",Chicago,2025-07-02,greater,,95,,0.00,96.00,2025-07-01 21:01:30,91,71,NO
"Will the high temp in Chicago be 88-89° on Jul 2, 2025?",Chicago,2025-07-02,between,88,89,,23.00,76.00,2025-07-01 21:01:30,91,71,NO
"Will the high temp in Chicago be 90-91° on Jul 2, 2025?",Chicago,2025-07-02,between,90,91,,43.00,54.00,2025-07-01 21:01:30,91,71,YES
"Will the high temp in Chicago be 92-93° on Jul 2, 2025?",Chicago,2025-07-02,between,92,93,,21.00,74.00,2025-07-01 21:01:30,91,71,NO
"Will the high temp in Chicago be 94-95° on Jul 2, 2025?",Chicago,2025-07-02,between,94,95,,6.00,88.00,2025-07-01 21:01:30,91,71,NO
"Will the **high temp in Denver** be <89° on Jul 2, 2025?",Denver,2025-07-02,less,,89,,0.00,97.00,2025-07-01 21:01:27,92,56,NO
"Will the **high temp in Denver** be >96° on Jul 2, 2025?",Denver,2025-07-02,greater,,96,,2.00,97.00,2025-07-01 21:01:27,92,56,NO
"Will the **high temp in Denver** be 89-90° on Jul 2, 2025?",Denver,2025-07-02,between,89,90,,1.00,96.00,2025-07-01 21:01:27,92,56,NO
"Will the **high temp in Denver** be 91-92° on Jul 2, 2025?",Denver,2025-07-02,between,91,92,,5.00,91.00,2025-07-01 21:01:27,92,56,YES
"Will the **high temp in Denver** be 93-94° on Jul 2, 2025?",Denver,2025-07-02,between,93,94,,50.00,44.00,2025-07-01 21:01:27,92,56,NO
"Will the **high temp in Denver** be 95-96° on Jul 2, 2025?",Denver,2025-07-02,between,95,96,,35.00,62.00,2025-07-01 21:01:27,92,56,NO
"Will the **high temp in LA** be <68° on Jul 2, 2025?",Los Angeles,2025-07-02,less,,68,,0.00,99.00,2025-07-01 21:01:27,70,60,NO
"Will the **high temp in LA** be >75° on Jul 2, 2025?",Los Angeles,2025-07-02,greater,,75,,0.00,95.00,2025-07-01 21:01:27,70,60,NO
"Will the **high temp in LA** be 68-69° on Jul 2, 2025?",Los Angeles,2025-07-02,between,68,69,,31.00,68.00,2025-07-01 21:01:27,70,60,NO
"Will the **high temp in LA** be 70-71° on Jul 2, 2025?",Los Angeles,2025-07-02,between,70,71,,49.00,47.00,2025-07-01 21:01:27,70,60,YES
"Will the **high temp in LA** be 72-73° on Jul 2, 2025?",Los Angeles,2025-07-02,between,72,73,,16.00,81.00,2025-07-01 21:01:27,70,60,NO
"Will the **high temp in LA** be 74-75° on Jul 2, 2025?",Los Angeles,2025-07-02,between,74,75,,0.00,96.00,2025-07-01 21:01:27,70,60,NO
