City,Date,Temp_Range,8AM_Bid,Ending_Cost,Won
NY,JUL-10-2024,91° to 92°,10,0,Won
CHI,JUL-10-2024,80° to 81°,14,0,Lost
MIA,JUL-10-2024,93° to 94°,33,0,Lost
NY,JUL-11-2024,91° to 92°,28,0,Lost
CHI,JUL-11-2024,78° to 79°,18,0,Lost
MIA,JUL-11-2024,88° to 89°,3,0,Lost
NY,JUL-12-2024,87° to 88°,15,0,Lost
CHI,JUL-12-2024,85° to 86°,29,0,Won
MIA,JUL-12-2024,90° to 91°,40,0,Won
NY,JUL-13-2024,84° to 85°,25,0,Lost
CHI,JUL-13-2024,92° to 93°,22,0,Won
MIA,JUL-13-2024,88° to 89°,5,0,Lost
NY,JUL-14-2024,92° to 93°,32,0,Lost
CHI,JUL-14-2024,92° to 93°,28,0,Lost
MIA,JUL-14-2024,92° to 93°,49,0,Won
NY,JUL-15-2024,93° to 94°,20,0,Lost
CHI,JUL-15-2024,92° to 93°,7,0,Lost
MIA,JUL-15-2024,91° to 92°,50,0,Lost
NY,JUL-16-2024,94° to 95°,5,0,Won
CHI,JUL-16-2024,87° to 88°,7,0,Won
MIA,JUL-16-2024,92° to 93°,42,0,Lost
NY,JUL-17-2024,93° to 94°,3,0,Lost
CHI,JUL-17-2024,83° to 84°,20,0,Won
MIA,JUL-17-2024,92° to 93°,50,0,Won
NY,JUL-18-2024,88° to 89°,7,0,Lost
CHI,JUL-18-2024,76° to 77°,15,0,Lost
MIA,JUL-18-2024,92° to 93°,40,0,Won
NY,JUL-19-2024,82° or below,1,0,Lost
CHI,JUL-19-2024,82° to 83°,7,0,Lost
MIA,JUL-19-2024,92° to 93°,50,0,Won
NY,JUL-20-2024,86° to 87°,20,0,Lost
CHI,JUL-20-2024,82° to 83°,28,0,Lost
MIA,JUL-20-2024,93° to 94°,35,0,Lost
NY,JUL-21-2024,84° to 85°,12,0,Lost
CHI,JUL-21-2024,82° to 83°,12,0,Lost
MIA,JUL-21-2024,92° to 93°,15,0,Won
NY,JUL-22-2024,81° to 82°,1,0,Lost
CHI,JUL-22-2024,83° to 84°,40,0,Won
MIA,JUL-22-2024,89° to 90°,40,0,Won
NY,JUL-23-2024,88° or above,2,0,Lost
CHI,JUL-23-2024,81° or below,1,0,Lost
MIA,JUL-23-2024,84° or below,1,0,Lost
NY,JUL-24-2024,83° to 84°,11,0,Lost
CHI,JUL-24-2024,77° to 78°,33,0,Won
MIA,JUL-24-2024,92° to 93°,45,0,Won
NY,JUL-25-2024,87° to 88°,3,0,Lost
CHI,JUL-25-2024,78° to 79°,15,0,Won
MIA,JUL-25-2024,90° to 91°,23,0,Won
NY,JUL-26-2024,81° to 82°,6,0,Lost
CHI,JUL-26-2024,82° to 83°,48,0,Lost
MIA,JUL-26-2024,92° to 93°,33,0,Won
NY,JUL-27-2024,85° to 86°,39,0,Lost
CHI,JUL-27-2024,87° to 88°,15,0,Lost
MIA,JUL-27-2024,93° to 94°,33,0,Won
NY,JUL-28-2024,88° to 89°,42,0,Won
CHI,JUL-28-2024,81° to 82°,15,0,Lost
MIA,JUL-28-2024,92° to 93°,32,0,Won
NY,JUL-29-2024,82° to 83°,39,0,Lost
CHI,JUL-29-2024,83° to 84°,30,0,Lost
MIA,JUL-29-2024,90° to 91°,42,0,Lost
NY,JUL-30-2024,85° to 86°,33,0,Lost
CHI,JUL-30-2024,91° to 92°,30,0,Won
MIA,JUL-30-2024,90° to 91°,42,0,Lost
NY,JUL-31-2024,84° to 85°,16,0,Lost
CHI,JUL-31-2024,90° to 91°,15,0,Lost
MIA,JUL-31-2024,90° to 91°,3,0,Lost
NY,AUG-01-2024,95° to 96°,14,0,Won
CHI,AUG-01-2024,89° to 90°,15,0,Won
MIA,AUG-01-2024,95° or above,8,0,Lost
NY,AUG-02-2024,92° to 93°,21,0,Won
CHI,AUG-02-2024,85° or above,57,0,Won
MIA,AUG-02-2024,91° to 92°,49,0,Lost
NY,AUG-03-2024,90° to 91°,36,0,Lost
CHI,AUG-03-2024,89° to 90°,39,0,Lost
MIA,AUG-03-2024,87° to 88°,26,0,Lost
NY,AUG-04-2024,84° to 85°,33,0,Lost
CHI,AUG-04-2024,93° to 94°,28,0,Lost
MIA,AUG-04-2024,90° to 91°,26,0,Won
NY,AUG-05-2024,88° to 89°,9,0,Lost
CHI,AUG-05-2024,88° or above,50,0,Won
MIA,AUG-05-2024,93° to 94°,27,0,Won
NY,AUG-06-2024,87° or above,30,0,Won
CHI,AUG-06-2024,76° to 77°,30,0,Lost
MIA,AUG-06-2024,93° to 94°,31,0,Lost
NY,AUG-07-2024,72° to 73°,38,0,Won
CHI,AUG-07-2024,80° or above,56,0,Lost
MIA,AUG-07-2024,94° to 95°,55,0,Won
NY,AUG-08-2024,74° to 75°,35,0,Lost
CHI,AUG-08-2024,84° to 85°,33,0,Won
MIA,AUG-08-2024,92° to 93°,53,0,Won
NY,AUG-09-2024,80° to 81°,31,0,Won
CHI,AUG-09-2024,79° or above,35,0,Lost
MIA,AUG-09-2024,92° to 93°,50,0,Lost
NY,AUG-10-2024,87° to 88°,19,0,Lost
CHI,AUG-10-2024,76° to 77°,31,0,Won
MIA,AUG-10-2024,93° to 94°,51,0,Won
NY,AUG-11-2024,83° to 84°,34,0,Lost
CHI,AUG-11-2024,79° to 80°,31,0,Won
MIA,AUG-11-2024,92° to 93°,49,0,Won
NY,AUG-12-2024,79° to 80°,31,0,Lost
CHI,AUG-12-2024,81° to 82°,30,0,Won
MIA,AUG-12-2024,91° to 92°,20,0,Won
NY,AUG-13-2024,79° to 80°,33,0,Lost
CHI,AUG-13-2024,85° to 86°,30,0,Won
MIA,AUG-13-2024,93° to 94°,20,0,Won
NY,AUG-14-2024,85° to 86°,34,0,Won
CHI,AUG-14-2024,84° to 85°,21,0,Lost
MIA,AUG-14-2024,94° to 95°,40,0,Lost
NY,AUG-15-2024,87° to 88°,37,0,Lost
CHI,AUG-15-2024,79° to 80°,42,0,Lost
MIA,AUG-15-2024,91° to 92°,15,0,Lost
NY,AUG-16-2024,88° to 89°,25,0,Lost
CHI,AUG-16-2024,88° to 89°,15,0,Won
MIA,AUG-16-2024,90° to 91°,31,0,Won
NY,AUG-17-2024,79° to 80°,25,0,Won
CHI,AUG-17-2024,78° to 79°,32,0,Lost
MIA,AUG-17-2024,90° to 91°,37,0,Won
NY,AUG-18-2024,77° to 78°,34,0,Lost
CHI,AUG-18-2024,79° to 80°,20,0,Won
MIA,AUG-18-2024,90° to 91°,26,0,Lost
NY,AUG-19-2024,83° to 84°,34,0,Won
CHI,AUG-19-2024,76° to 77°,20,0,Won
MIA,AUG-19-2024,91° to 92°,29,0,Lost
NY,AUG-20-2024,74° to 75°,15,0,Lost
CHI,AUG-20-2024,73° to 74°,21,0,Won
MIA,AUG-20-2024,92° to 93°,37,0,Won
NY,AUG-21-2024,71° to 72°,25,0,Lost
CHI,AUG-21-2024,75° to 76°,22,0,Won
MIA,AUG-21-2024,93° to 94°,15,0,Lost
NY,AUG-22-2024,78° to 79°,20,0,Lost
CHI,AUG-22-2024,75° or below,1,0,Lost
MIA,AUG-22-2024,85° or below,1,0,Lost
NY,AUG-23-2024,81° to 82°,50,0,Lost
CHI,AUG-23-2024,83° to 84°,35,0,Lost
MIA,AUG-23-2024,90° to 91°,40,0,Won
NY,AUG-24-2024,85° to 86°,17,0,Lost
CHI,AUG-24-2024,90° to 91°,21,0,Won
MIA,AUG-24-2024,90° to 91°,16,0,Lost
NY,AUG-25-2024,85° to 86°,45,0,Won
CHI,AUG-25-2024,92° or above,68,0,Won
MIA,AUG-25-2024,89° to 90°,15,0,Lost
NY,AUG-26-2024,83° to 84°,32,0,Lost
CHI,AUG-26-2024,96° to 97°,25,0,Lost
MIA,AUG-26-2024,90° to 91°,55,0,Lost
NY,AUG-27-2024,85° to 86°,36,0,Won
CHI,AUG-27-2024,98° to 99°,17,0,Won
MIA,AUG-27-2024,92° to 93°,22,0,Won
NY,AUG-28-2024,93° to 94°,39,0,Lost
CHI,AUG-28-2024,86° to 87°,20,0,Won
MIA,AUG-28-2024,91° to 92°,51,0,Lost
NY,AUG-29-2024,81° or above,52,0,Won
CHI,AUG-29-2024,85° to 86°,38,0,Won
MIA,AUG-29-2024,91° to 92°,32,0,Lost
NY,AUG-30-2024,73° to 74°,28,0,Won
CHI,AUG-30-2024,88° to 89°,33,0,Lost
MIA,AUG-30-2024,91° to 92°,25,0,Lost
NY,AUG-31-2024,80° to 81°,45,0,Lost
CHI,AUG-31-2024,85° to 86°,30,0,Won
MIA,AUG-31-2024,88° to 89°,43,0,Won
NY,SEP-01-2024,80° to 81°,29,0,Won
CHI,SEP-01-2024,77° to 78°,31,0,Won
MIA,SEP-01-2024,89° to 90°,50,0,Lost
NY,SEP-02-2024,78° to 79°,22,0,Won
CHI,SEP-02-2024,74° to 75°,33,0,Won
MIA,SEP-02-2024,84° to 85°,1,0,Lost
NY,SEP-03-2024,74° to 75°,54,0,Won
CHI,SEP-03-2024,78° to 79°,33,0,Won
MIA,SEP-03-2024,89° to 90°,60,0,Won
NY,SEP-04-2024,79° to 80°,6,0,Lost
CHI,SEP-04-2024,84° to 85°,43,0,Won
MIA,SEP-04-2024,90° to 91°,38,0,Won
NY,SEP-05-2024,76° to 77°,48,0,Won
CHI,SEP-05-2024,88° to 89°,40,0,Lost
MIA,SEP-05-2024,92° to 93°,51,0,Lost
NY,SEP-06-2024,74° to 75°,17,0,Lost
CHI,SEP-06-2024,72° to 73°,47,0,Won
MIA,SEP-06-2024,91° to 92°,56,0,Won
NY,SEP-07-2024,74° to 75°,29,0,Lost
CHI,SEP-07-2024,65° to 66°,26,0,Lost
MIA,SEP-07-2024,90° to 91°,46,0,Won
NY,SEP-08-2024,71° to 72°,25,0,Lost
CHI,SEP-08-2024,75° to 76°,40,0,Lost
MIA,SEP-08-2024,92° to 93°,42,0,Lost
NY,SEP-09-2024,76° to 77°,45,0,Lost
CHI,SEP-09-2024,82° to 83°,38,0,Won
MIA,SEP-09-2024,90° to 91°,55,0,Lost
NY,SEP-10-2024,77° to 78°,45,0,Won
CHI,SEP-10-2024,85° to 86°,15,0,Lost
MIA,SEP-10-2024,90° to 91°,44,0,Lost
NY,SEP-11-2024,79° to 80°,21,0,Won
CHI,SEP-11-2024,88° to 89°,52,0,Won
MIA,SEP-11-2024,91° to 92°,33,0,Lost
NY,SEP-12-2024,78° to 79°,36,0,Lost
CHI,SEP-12-2024,85° to 86°,40,0,Lost
MIA,SEP-12-2024,92° to 93°,29,0,Won
NY,SEP-13-2024,80° to 81°,43,0,Lost
CHI,SEP-13-2024,84° to 85°,41,0,Won
MIA,SEP-13-2024,91° to 92°,41,0,Lost
NY,SEP-14-2024,82° to 83°,48,0,Won
CHI,SEP-14-2024,87° to 88°,36,0,Won
MIA,SEP-14-2024,91° to 92°,30,0,Lost
NY,SEP-15-2024,79° to 80°,53,0,Won
CHI,SEP-15-2024,87° to 88°,31,0,Lost
MIA,SEP-15-2024,92° to 93°,50,0,Lost
NY,SEP-16-2024,77° to 78°,54,0,Won
CHI,SEP-16-2024,88° to 89°,55,0,Lost
MIA,SEP-16-2024,90° to 91°,26,0,Lost
NY,SEP-17-2024,78° to 79°,57,0,Won
CHI,SEP-17-2024,85° to 86°,25,0,Won
MIA,SEP-17-2024,90° to 91°,23,0,Lost
NY,SEP-18-2024,74° to 75°,42,0,Won
CHI,SEP-18-2024,87° or above,41,0,Won
MIA,SEP-18-2024,91° to 92°,36,0,Lost
NY,SEP-19-2024,80° or above,51,0,Won
CHI,SEP-19-2024,90° to 91°,20,0,Won
MIA,SEP-19-2024,92° to 93°,51,0,Lost
NY,SEP-20-2024,80° or above,45,0,Won
CHI,SEP-20-2024,86° to 87°,27,0,Lost
MIA,SEP-20-2024,88° to 89°,20,0,Lost
NY,SEP-21-2024,78° to 79°,15,0,Won
CHI,SEP-21-2024,93° or above,36,0,Won
MIA,SEP-21-2024,91° to 92°,15,0,Won
NY,SEP-22-2024,73° to 74°,30,0,Won
CHI,SEP-22-2024,75° to 76°,38,0,Lost
MIA,SEP-22-2024,91° to 92°,65,0,Won
NY,SEP-23-2024,67° to 68°,25,0,Won
CHI,SEP-23-2024,69° to 70°,26,0,Lost
MIA,SEP-23-2024,92° to 93°,64,0,Lost
NY,SEP-24-2024,68° to 69°,38,0,Won
CHI,SEP-24-2024,68° to 69°,25,0,Won
MIA,SEP-24-2024,89° to 90°,25,0,Lost
NY,SEP-25-2024,68° to 69°,14,0,Won
CHI,SEP-25-2024,75° to 76°,33,0,Lost
MIA,SEP-25-2024,89° to 90°,50,0,Won
NY,SEP-26-2024,74° to 75°,29,0,Won
CHI,SEP-26-2024,77° to 78°,40,0,Won
MIA,SEP-26-2024,90° to 91°,29,0,Won
NY,SEP-27-2024,74° to 75°,50,0,Won
CHI,SEP-27-2024,77° to 78°,20,0,Lost
MIA,SEP-27-2024,90° to 91°,15,0,Won
NY,SEP-28-2024,70° to 71°,3,0,Lost
CHI,SEP-28-2024,73° to 74°,3,0,Won
MIA,SEP-28-2024,93° to 94°,15,0,Won
NY,SEP-29-2024,68° to 69°,19,0,Lost
CHI,SEP-29-2024,75° to 76°,40,0,Lost
MIA,SEP-29-2024,93° to 94°,25,0,Lost
NY,SEP-30-2024,71° to 72°,54,0,Won
CHI,SEP-30-2024,78° to 79°,41,0,Won
MIA,SEP-30-2024,90° to 91°,14,0,Won
NY,OCT-01-2024,68° to 69°,37,0,Won
CHI,OCT-01-2024,70° to 71°,37,0,Won
MIA,OCT-01-2024,92° to 93°,12,0,Lost
NY,OCT-02-2024,66° to 67°,31,0,Lost
CHI,OCT-02-2024,72° to 73°,25,0,Won
MIA,OCT-02-2024,90° to 91°,36,0,Lost
NY,OCT-03-2024,70° to 71°,12,0,Lost
CHI,OCT-03-2024,78° to 79°,25,0,Lost
MIA,OCT-03-2024,90° to 91°,26,0,Won
NY,OCT-04-2024,72° to 73°,25,0,Won
CHI,OCT-04-2024,70° to 71°,25,0,Lost
MIA,OCT-04-2024,87° to 88°,29,0,Won
NY,OCT-05-2024,75° to 76°,25,0,Won
CHI,OCT-05-2024,82° to 83°,39,0,Lost
MIA,OCT-05-2024,88° to 89°,25,0,Lost
NY,OCT-06-2024,73° to 74°,3,0,Lost
CHI,OCT-06-2024,76° or above,51,0,Lost
MIA,OCT-06-2024,84° to 85°,38,0,Lost
NY,OCT-07-2024,74° to 75°,13,0,Won
CHI,OCT-07-2024,68° to 69°,35,0,Won
MIA,OCT-07-2024,81° to 82°,25,0,Lost
NY,OCT-08-2024,70° to 71°,7,0,Lost
CHI,OCT-08-2024,74° to 75°,35,0,Won
MIA,OCT-08-2024,83° or below,1,0,Won
NY,OCT-09-2024,65° to 66°,28,0,Lost
CHI,OCT-09-2024,71° to 72°,19,0,Lost
MIA,OCT-09-2024,85° to 86°,22,0,Lost
NY,OCT-10-2024,56° or below,1,0,Lost
CHI,OCT-10-2024,73° to 74°,31,0,Lost
MIA,OCT-10-2024,82° or below,1,0,Lost
NY,OCT-11-2024,63° or below,1,0,Lost
CHI,OCT-11-2024,81° to 82°,1,0,Lost
MIA,OCT-11-2024,81° or below,1,0,Lost
NY,OCT-12-2024,71° to 72°,36,0,Lost
CHI,OCT-12-2024,71° or above,15,0,Lost
MIA,OCT-12-2024,81° to 82°,1,0,Lost
NY,OCT-13-2024,73° or above,80,0,Lost
CHI,OCT-13-2024,67° to 68°,11,0,Won
MIA,OCT-13-2024,80° or below,1,0,Lost
NY,OCT-14-2024,65° to 66°,45,0,Won
CHI,OCT-14-2024,57° to 58°,29,0,Won
MIA,OCT-14-2024,88° to 89°,15,0,Won
NY,OCT-15-2024,56° to 57°,35,0,Won
CHI,OCT-15-2024,50° to 51°,28,0,Lost
MIA,OCT-15-2024,88° to 89°,33,0,Lost
NY,OCT-16-2024,57° to 58°,17,0,Lost
CHI,OCT-16-2024,56° to 57°,7,0,Lost
MIA,OCT-16-2024,87° to 88°,20,0,Won
NY,OCT-17-2024,55° to 56°,1,0,Lost
CHI,OCT-17-2024,66° to 67°,15,0,Lost
MIA,OCT-17-2024,81° to 82°,3,0,Won
NY,OCT-18-2024,61° to 62°,1,0,Lost
CHI,OCT-18-2024,70° to 71°,27,0,Lost
MIA,OCT-18-2024,81° to 82°,15,0,Lost
NY,OCT-19-2024,69° to 70°,21,0,Lost
CHI,OCT-19-2024,71° to 72°,15,0,Won
MIA,OCT-19-2024,83° to 84°,15,0,Won
NY,OCT-20-2024,74° to 75°,16,0,Lost
CHI,OCT-20-2024,78° to 79°,40,0,Won
MIA,OCT-20-2024,84° to 85°,15,0,Lost
NY,OCT-21-2024,79° to 80°,15,0,Won
CHI,OCT-21-2024,82° to 83°,25,0,Won
MIA,OCT-21-2024,86° to 87°,15,0,Won
NY,OCT-22-2024,78° to 79°,31,0,Lost
CHI,OCT-22-2024,75° to 76°,20,0,Won
MIA,OCT-22-2024,84° to 85°,4,0,Lost
NY,OCT-23-2024,75° to 76°,43,0,Won
CHI,OCT-23-2024,63° to 64°,10,0,Lost
MIA,OCT-23-2024,85° to 86°,43,0,Lost
